;tx_id;rx_id;link_id;distance_km;azimuth_deg;geometry
0;TX_0001;1;TX_0001_RX_0001;1;0;POINT (-13.406898868930545 9.354041397711129)
1;TX_0001;2;TX_0001_RX_0002;1;10;POINT (-13.405318687784602 9.353896938002)
2;TX_0001;3;TX_0001_RX_0003;1;20;POINT (-13.40378777477706 9.353482143301617)
3;TX_0001;4;TX_0001_RX_0004;1;30;POINT (-13.402352648787232 9.35280961837919)
4;TX_0001;5;TX_0001_RX_0005;1;40;POINT (-13.401056917258163 9.351899799342483)
5;TX_0001;6;TX_0001_RX_0006;1;50;POINT (-13.399939950981276 9.35078033248205)
6;TX_0001;7;TX_0001_RX_0007;1;60;POINT (-13.39903568775727 9.349485234023053)
7;TX_0001;8;TX_0001_RX_0008;1;70;POINT (-13.398371601292654 9.34805385634309)
8;TX_0001;9;TX_0001_RX_0009;1;80;POINT (-13.397967866651816 9.346529692093162)
9;TX_0001;10;TX_0001_RX_0010;1;90;POINT (-13.397836747594349 9.344959052579249)
10;TX_0001;11;TX_0001_RX_0011;1;100;POINT (-13.39798222437117 9.343389660575317)
11;TX_0001;12;TX_0001_RX_0012;1;110;POINT (-13.398399873237308 9.341869200329205)
12;TX_0001;13;TX_0001_RX_0013;1;120;POINT (-13.39907700128792 9.340443868814043)
13;TX_0001;14;TX_0001_RX_0014;1;130;POINT (-13.399993032469654 9.339156972230905)
14;TX_0001;15;TX_0001_RX_0015;1;140;POINT (-13.40112013299731 9.338047610386084)
15;TX_0001;16;TX_0001_RX_0016;1;150;POINT (-13.402424057145954 9.33714948889175)
16;TX_0001;17;TX_0001_RX_0017;1;160;POINT (-13.403865187710549 9.336489895252994)
17;TX_0001;18;TX_0001_RX_0018;1;170;POINT (-13.40539973952891 9.336088869926671)
18;TX_0001;19;TX_0001_RX_0019;1;180;POINT (-13.406981089526854 9.335958597517804)
19;TX_0001;20;TX_0001_RX_0020;1;190;POINT (-13.408561192914307 9.33610303659795)
20;TX_0001;21;TX_0001_RX_0021;1;200;POINT (-13.410092042552835 9.336517799388467)
21;TX_0001;22;TX_0001_RX_0022;1;210;POINT (-13.411527127206359 9.33719028496894)
22;TX_0001;23;TX_0001_RX_0023;1;220;POINT (-13.412822844417603 9.338100061976828)
