,tx_id,rx_id,link_id,distance_km,azimuth_deg,geometry
0,TX_0001,0,TX_0001_TX,0.0,,POINT (-13.40694 9.345)
1,TX_0001,1,TX_0001_RX_0001,0.5,0.0,POINT (-13.406919439658425 9.349520699452224)
2,TX_0001,2,TX_0001_RX_0002,0.5,10.0,POINT (-13.406129358812631 9.34944847217761)
3,TX_0001,3,TX_0001_RX_0003,0.5,20.0,POINT (-13.405363910235293 9.349241078819608)
4,TX_0001,4,TX_0001_RX_0004,0.5,30.0,POINT (-13.40464635240924 9.34890482128067)
5,TX_0001,5,TX_0001_RX_0005,0.5,40.0,POINT (-13.403998488432283 9.348449917020124)
6,TX_0001,6,TX_0001_RX_0006,0.5,50.0,POINT (-13.403440003484844 9.34789018854818)
7,TX_0001,7,TX_0001_RX_0007,0.5,60.0,POINT (-13.402987866686285 9.347242643378696)
8,TX_0001,8,TX_0001_RX_0008,0.5,70.0,POINT (-13.402655815516528 9.346526957210436)
9,TX_0001,9,TX_0001_RX_0009,0.5,80.0,POINT (-13.402453938466227 9.34576487604671)
10,TX_0001,10,TX_0001_RX_0010,0.5,90.0,POINT (-13.402388368589529 9.34497955542499)
11,TX_0001,11,TX_0001_RX_0011,0.5,100.0,POINT (-13.402461097260277 9.344194856837184)
12,TX_0001,12,TX_0001_RX_0012,0.5,110.0,POINT (-13.402669913777766 9.343434622719707)
13,TX_0001,13,TX_0001_RX_0013,0.5,120.0,POINT (-13.403008472643487 9.342721952041318)
14,TX_0001,14,TX_0001_RX_0014,0.5,130.0,POINT (-13.40346648645199 9.342078498496111)
15,TX_0001,15,TX_0001_RX_0015,0.5,140.0,POINT (-13.404030038524573 9.341523812620546)
16,TX_0001,16,TX_0001_RX_0016,0.5,150.0,POINT (-13.40468200577982 9.341074747817416)
17,TX_0001,17,TX_0001_RX_0017,0.5,160.0,POINT (-13.405402578990053 9.340744948327592)
18,TX_0001,18,TX_0001_RX_0018,0.5,170.0,POINT (-13.406169864618267 9.340544434700742)
19,TX_0001,19,TX_0001_RX_0019,0.5,180.0,POINT (-13.406960549955926 9.340479299355007)
20,TX_0001,20,TX_0001_RX_0020,0.5,190.0,POINT (-13.407750611362097 9.340551521472372)
21,TX_0001,21,TX_0001_RX_0021,0.5,200.0,POINT (-13.408516044097183 9.34075890685291)
22,TX_0001,22,TX_0001_RX_0022,0.5,210.0,POINT (-13.40923359158916 9.341095154556358)
23,TX_0001,23,TX_0001_RX_0023,0.5,220.0,POINT (-13.40988145198666 9.341550048309703)
24,TX_0001,24,TX_0001_RX_0024,0.5,230.0,POINT (-13.410439940540996 9.342109766870049)
25,TX_0001,25,TX_0001_RX_0025,0.5,240.0,POINT (-13.410892087697766 9.34275730391903)
26,TX_0001,26,TX_0001_RX_0026,0.5,250.0,POINT (-13.411224154727687 9.343472984737332)
27,TX_0001,27,TX_0001_RX_0027,0.5,260.0,POINT (-13.41142605122714 9.344235063966929)
28,TX_0001,28,TX_0001_RX_0028,0.5,270.0,POINT (-13.411491641796124 9.345020386303629)
29,TX_0001,29,TX_0001_RX_0029,0.5,280.0,POINT (-13.411418932564997 9.345805090048684)
30,TX_0001,30,TX_0001_RX_0030,0.5,290.0,POINT (-13.411210131889764 9.346565332143626)
31,TX_0001,31,TX_0001_RX_0031,0.5,300.0,POINT (-13.410871583358118 9.347278012657503)
32,TX_0001,32,TX_0001_RX_0032,0.5,310.0,POINT (-13.410413573129071 9.347921476709914)
33,TX_0001,33,TX_0001_RX_0033,0.5,320.0,POINT (-13.40985001744959 9.348476172497078)
34,TX_0001,34,TX_0001_RX_0034,0.5,330.0,POINT (-13.409198039836133 9.34892524542071)
35,TX_0001,35,TX_0001_RX_0035,0.5,340.0,POINT (-13.408477450765735 9.349255050260494)
36,TX_0001,36,TX_0001_RX_0036,0.5,350.0,POINT (-13.40771014568837 9.34945556582147)
37,TX_0001,37,TX_0001_RX_0037,1.0,0.0,POINT (-13.406898868930545 9.354041397711129)
38,TX_0001,38,TX_0001_RX_0038,1.0,10.0,POINT (-13.405318687784602 9.353896938002)
39,TX_0001,39,TX_0001_RX_0039,1.0,20.0,POINT (-13.40378777477706 9.353482143301617)
40,TX_0001,40,TX_0001_RX_0040,1.0,30.0,POINT (-13.402352648787232 9.35280961837919)
41,TX_0001,41,TX_0001_RX_0041,1.0,40.0,POINT (-13.401056917258163 9.351899799342483)
42,TX_0001,42,TX_0001_RX_0042,1.0,50.0,POINT (-13.399939950981276 9.35078033248205)
43,TX_0001,43,TX_0001_RX_0043,1.0,60.0,POINT (-13.39903568775727 9.349485234023053)
44,TX_0001,44,TX_0001_RX_0044,1.0,70.0,POINT (-13.398371601292654 9.34805385634309)
45,TX_0001,45,TX_0001_RX_0045,1.0,80.0,POINT (-13.397967866651816 9.346529692093162)
46,TX_0001,46,TX_0001_RX_0046,1.0,90.0,POINT (-13.397836747594349 9.344959052579249)
47,TX_0001,47,TX_0001_RX_0047,1.0,100.0,POINT (-13.39798222437117 9.343389660575317)
48,TX_0001,48,TX_0001_RX_0048,1.0,110.0,POINT (-13.398399873237308 9.341869200329205)
49,TX_0001,49,TX_0001_RX_0049,1.0,120.0,POINT (-13.39907700128792 9.340443868814043)
50,TX_0001,50,TX_0001_RX_0050,1.0,130.0,POINT (-13.399993032469654 9.339156972230905)
51,TX_0001,51,TX_0001_RX_0051,1.0,140.0,POINT (-13.40112013299731 9.338047610386084)
52,TX_0001,52,TX_0001_RX_0052,1.0,150.0,POINT (-13.402424057145954 9.33714948889175)
53,TX_0001,53,TX_0001_RX_0053,1.0,160.0,POINT (-13.403865187710549 9.336489895252994)
54,TX_0001,54,TX_0001_RX_0054,1.0,170.0,POINT (-13.40539973952891 9.336088869926671)
55,TX_0001,55,TX_0001_RX_0055,1.0,180.0,POINT (-13.406981089526854 9.335958597517804)
56,TX_0001,56,TX_0001_RX_0056,1.0,190.0,POINT (-13.408561192914307 9.33610303659795)
57,TX_0001,57,TX_0001_RX_0057,1.0,200.0,POINT (-13.410092042552835 9.336517799388467)
58,TX_0001,58,TX_0001_RX_0058,1.0,210.0,POINT (-13.411527127206359 9.33719028496894)
59,TX_0001,59,TX_0001_RX_0059,1.0,220.0,POINT (-13.412822844417603 9.338100061976828)
60,TX_0001,60,TX_0001_RX_0060,1.0,230.0,POINT (-13.413939825122085 9.33921948919088)
61,TX_0001,61,TX_0001_RX_0061,1.0,240.0,POINT (-13.414844129778928 9.340514555167868)
62,TX_0001,62,TX_0001_RX_0062,1.0,250.0,POINT (-13.415508279684202 9.341945911447993)
63,TX_0001,63,TX_0001_RX_0063,1.0,260.0,POINT (-13.415912092121651 9.343470067961404)
64,TX_0001,64,TX_0001_RX_0064,1.0,270.0,POINT (-13.416043293948256 9.34504071433525)
65,TX_0001,65,TX_0001_RX_0065,1.0,280.0,POINT (-13.41589789492992 9.346610126968166)
66,TX_0001,66,TX_0001_RX_0066,1.0,290.0,POINT (-13.415480309432796 9.348130619124145)
67,TX_0001,67,TX_0001_RX_0067,1.0,300.0,POINT (-13.414803222718492 9.349555989981257)
68,TX_0001,68,TX_0001_RX_0068,1.0,310.0,POINT (-13.413887205854584 9.350842928593211)
69,TX_0001,69,TX_0001_RX_0069,1.0,320.0,POINT (-13.412760090899337 9.351952330084412)
70,TX_0001,70,TX_0001_RX_0070,1.0,330.0,POINT (-13.411456125317862 9.352850484060767)
71,TX_0001,71,TX_0001_RX_0071,1.0,340.0,POINT (-13.410014931312602 9.35351009909936)
72,TX_0001,72,TX_0001_RX_0072,1.0,350.0,POINT (-13.40848030169763 9.353911132162196)
73,TX_0001,73,TX_0001_RX_0073,1.5,0.0,POINT (-13.40687828781571 9.358562094776147)
74,TX_0001,74,TX_0001_RX_0074,1.5,10.0,POINT (-13.404507986900528 9.35834539746996)
75,TX_0001,75,TX_0001_RX_0075,1.5,20.0,POINT (-13.402211593599304 9.35772319343591)
76,TX_0001,76,TX_0001_RX_0076,1.5,30.0,POINT (-13.400058889104338 9.356714391276368)
77,TX_0001,77,TX_0001_RX_0077,1.5,40.0,POINT (-13.398115286452295 9.355349646939498)
78,TX_0001,78,TX_0001_RX_0078,1.5,50.0,POINT (-13.396439842475038 9.353670431769062)
79,TX_0001,79,TX_0001_RX_0079,1.5,60.0,POINT (-13.395083463213611 9.35172777190098)
80,TX_0001,80,TX_0001_RX_0080,1.5,70.0,POINT (-13.394087357343771 9.349580697372408)
81,TX_0001,81,TX_0001_RX_0081,1.5,80.0,POINT (-13.393481784582763 9.347294448125453)
