,tx_id,rx_id,link_id,distance_km,azimuth_deg,geometry
0,TX_0001,1,TX_0001_RX_0001,1.0,0.0,POINT (-13.406898868930545 9.354041397711129)
1,TX_0001,2,TX_0001_RX_0002,1.0,5.0,POINT (-13.406105602758881 9.354003429451291)
2,TX_0001,3,TX_0001_RX_0003,1.0,10.0,POINT (-13.405318687784602 9.353896938002)
3,TX_0001,4,TX_0001_RX_0004,1.0,15.0,POINT (-13.404544113334975 9.353722733963359)
4,TX_0001,5,TX_0001_RX_0005,1.0,20.0,POINT (-13.40378777477706 9.353482143301617)
5,TX_0001,6,TX_0001_RX_0006,1.0,25.0,POINT (-13.40305542863861 9.353176997252653)
6,TX_0001,7,TX_0001_RX_0007,1.0,30.0,POINT (-13.402352648787232 9.35280961837919)
7,TX_0001,8,TX_0001_RX_0008,1.0,35.0,POINT (-13.401684784001645 9.352382802888094)
8,TX_0001,9,TX_0001_RX_0009,1.0,40.0,POINT (-13.401056917258163 9.351899799342483)
9,TX_0001,10,TX_0001_RX_0010,1.0,45.0,POINT (-13.400473827042477 9.351364283930915)
10,TX_0001,11,TX_0001_RX_0011,1.0,50.0,POINT (-13.399939950981276 9.35078033248205)
11,TX_0001,12,TX_0001_RX_0012,1.0,55.0,POINT (-13.3994593520705 9.350152389438055)
12,TX_0001,13,TX_0001_RX_0013,1.0,60.0,POINT (-13.39903568775727 9.349485234023053)
13,TX_0001,14,TX_0001_RX_0014,1.0,65.0,POINT (-13.398672182110612 9.348783943864275)
14,TX_0001,15,TX_0001_RX_0015,1.0,70.0,POINT (-13.398371601292654 9.34805385634309)
15,TX_0001,16,TX_0001_RX_0016,1.0,75.0,POINT (-13.398136232516668 9.347300527970006)
16,TX_0001,17,TX_0001_RX_0017,1.0,80.0,POINT (-13.397967866651816 9.346529692093162)
17,TX_0001,18,TX_0001_RX_0018,1.0,85.0,POINT (-13.397867784606609 9.34574721526213)
18,TX_0001,19,TX_0001_RX_0019,1.0,90.0,POINT (-13.397836747594349 9.344959052579249)
19,TX_0001,20,TX_0001_RX_0020,1.0,95.0,POINT (-13.397874991354152 9.344171202378279)
20,TX_0001,21,TX_0001_RX_0021,1.0,100.0,POINT (-13.39798222437117 9.343389660575317)
21,TX_0001,22,TX_0001_RX_0022,1.0,105.0,POINT (-13.398157630109054 9.34262037503928)
22,TX_0001,23,TX_0001_RX_0023,1.0,110.0,POINT (-13.398399873237308 9.341869200329205)
23,TX_0001,24,TX_0001_RX_0024,1.0,115.0,POINT (-13.398707109805692 9.34114185314263)
24,TX_0001,25,TX_0001_RX_0025,1.0,120.0,POINT (-13.39907700128792 9.340443868814043)
25,TX_0001,26,TX_0001_RX_0026,1.0,125.0,POINT (-13.399506732387458 9.339780559194228)
